,admitting_diagnosis,count(admitting_diagnosis)
0,Headache,8116
1,Encounter for screening for malignant neoplasm of colon,7160
2,Shortness of breath,6850
3,"Fever, unspecified",6215
4,Cough,5350
5,"Abdominal pain, other specified site",4467
6,"Abdominal pain, unspecified site",3757
7,"Chest pain, unspecified",3549
8,"Single liveborn infant, delivered vaginally",3434
9,Pain in limb,3399
10,Unspecified abdominal pain,3350
11,Dizziness and giddiness,3332
12,Nausea with vomiting,3280
13,"Single liveborn, born in hospital, delivered without mention of cesarean delivery",3234
14,Supervision of other normal pregnancy,3197
15,"Special screening for malignant neoplasms, colon",3171
16,Lumbago,2988
17,Cervicalgia,2881
18,Low back pain,2493
19,Epigastric pain,2236
20,Rash and other nonspecific skin eruption,2209
21,"Other current maternal conditions classifiable elsewhere, antepartum",2153
22,Other malaise and fatigue,2115
23,"Single liveborn, born in hospital, delivered by cesarean delivery",2030
24,Syncope and collapse,1960
25,Generalized abdominal pain,1926
26,"Single liveborn infant, delivered by cesarean",1862
27,"Altered mental status, unspecified",1834
28,Weakness,1815
29,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",1765
30,,1706
31,Other chest pain,1690
32,"Pain in joint, lower leg",1645
33,Altered mental status,1642
34,Lumbosacral spondylosis without myelopathy,1624
35,"Dysphagia, unspecified",1618
36,"Nausea with vomiting, unspecified",1576
37,"Radiculopathy, lumbar region",1523
38,"Abdominal pain, epigastric",1492
39,Acute pharyngitis,1418
40,"Head injury, unspecified",1412
41,Right lower quadrant pain,1386
42,Swelling of limb,1325
43,Left lower quadrant pain,1312
44,"Pain in joint, shoulder region",1279
45,"Spondylosis without myelopathy or radiculopathy, lumbar region",1240
46,"Pain in joint, pelvic region and thigh",1237
47,"Backache, unspecified",1234
48,"False labor, unspecified",1230
49,"Encounter for supervision of other normal pregnancy, third trimester",1203
50,Hemorrhage of anus and rectum,1179
51,"Abdominal pain, right lower quadrant",1145
52,Diarrhea,1128
53,Right upper quadrant pain,1102
54,"Threatened premature labor, antepartum",1102
55,"Diarrhea, unspecified",1089
56,Vomiting alone,1080
57,Supervision of normal first pregnancy,1077
58,"Abdominal pain, generalized",1064
59,Hemorrhage of rectum and anus,1052
60,"Other specified pregnancy related conditions, unspecified trimester",1048
61,"Acute pharyngitis, unspecified",1020
62,"Hematuria, unspecified",1013
63,"Vomiting, unspecified",1001
64,"Unspecified injury of head, initial encounter",908
65,Other convulsions,873
66,Pelvic and perineal pain,865
67,"Retention of urine, unspecified",864
68,"Abdominal pain, left lower quadrant",853
69,"Otalgia, unspecified",846
70,Other specified soft tissue disorders,813
71,"Abdominal pain, right upper quadrant",803
72,Unspecified dental caries,801
73,Essential (primary) hypertension,800
74,Pain in thoracic spine,791
75,"Injury, other and unspecified, knee, leg, ankle, and foot",767
76,"Malignant neoplasm of breast (female), unspecified site",765
77,Nausea alone,745
78,Unspecified disorder of the teeth and supporting structures,743
79,"Other threatened labor, antepartum",741
80,Unspecified convulsions,734
81,Other diseases of nasal cavity and sinuses,730
82,Disturbance of skin sensation,726
83,Epistaxis,718
84,Unspecified symptom associated with female genital organs,717
85,"Swelling, mass, or lump in head and neck",712
86,Precordial pain,707
87,"Pain in joint, ankle and foot",685
88,Elevated prostate specific antigen (PSA),685
89,Other specified disorder of gallbladder,675
90,"Other spondylosis with radiculopathy, lumbar region",628
91,"Open wound of finger(s) , without mention of complication",625
92,Dysuria,614
93,"Anemia, unspecified",612
94,"Transient hypertension of pregnancy, antepartum",610
95,"Dental caries, unspecified",595
96,Unspecified septicemia,592
97,"Acute kidney failure, unspecified",589
98,Calculus of gallbladder without mention of cholecystitis or obstruction,589
99,"Lower abdominal pain, unspecified",586
100,Unspecified constipation,585
101,Personal history of colonic polyps,576
102,"Dorsalgia, unspecified",572
103,"Decreased fetal movements, affecting management of mother, antepartum",572
104,Pain in left knee,570
105,Unspecified essential hypertension,565
106,Pain in right hip,565
107,Calculus of gallbladder without cholecystitis without obstruction,564
108,"Other specified pregnancy related conditions, first trimester",556
109,Calculus of kidney,548
110,"Encounter for supervision of normal first pregnancy, third trimester",538
111,Pain in right knee,537
112,Pain in left hip,532
113,"Abnormal maternal glucose tolerance, antepartum",521
114,Encounter for antineoplastic chemotherapy,519
115,Calculus of ureter,519
116,Other specified noninflammatory disorder of vagina,518
117,"Tear of medial cartilage or meniscus of knee, current",518
118,"Unspecified hemorrhage in early pregnancy, antepartum",515
119,"Constipation, unspecified",514
120,Other specified diseases of gallbladder,513
121,Other specified disorders of teeth and supporting structures,502
122,Malignant neoplasm of prostate,499
123,"Abnormal uterine and vaginal bleeding, unspecified",492
124,"Pain in joint, forearm",483
125,"Iron deficiency anemia, unspecified",474
126,"Other specified injuries of head, initial encounter",470
127,Gastro-esophageal reflux disease without esophagitis,461
128,"Inguinal hernia without mention of obstruction or gangrene, unilateral or unspecified, (not specified as recurrent)",457
129,Encounter for removal of sutures,457
