,order_type,procedure_name,count(*)
0,Point of Care Testing,POC GLUCOSE,1240554
1,Nursing,NURSING COMMUNICATION,804057
2,Lab,CBC WITH DIFFERENTIAL,457414
3,Discharge,DISCHARGE PATIENT,421442
4,Lab,COMPREHENSIVE METABOLIC PANEL,225273
5,Nursing,NOTIFY PHYSICIAN,212390
6,Lab,BASIC METABOLIC PANEL,204445
7,Nursing,VITAL SIGNS PER PROTOCOL,200454
8,Nursing,INTAKE AND OUTPUT,185130
9,Code Status,FULL CODE,183422
10,IV,INSERT PERIPHERAL IV,152248
11,Nursing,"EDUCATION, SMOKING CESSATION AND SECOND HAND SMOKE AVOIDANCE",133230
12,Nursing,VITAL SIGNS,124550
13,ECG,EKG 12-LEAD,118907
14,Admission,ADMIT TO INPATIENT,118350
15,Nursing,VERIFY INFORMED CONSENT,116835
16,Imaging,XR CHEST PA OR AP,114578
17,Lab,EXTRA TUBE,114479
18,Diet,DIET NPO,109348
19,PT,PT EVAL AND TREAT,108313
20,Respiratory Care,"PULSE OXIMETRY, CONTINUOUS",106569
21,Nursing,CONTINUOUS CARDIAC MONITORING,100840
22,Lab,MANUAL DIFFERENTIAL,98589
23,Lab,URINALYSIS WITH REFLEX CULTURE,96633
24,Microbiology,BLOOD CULTURE,92036
25,Diet,DIET GENERAL,88513
26,Nursing,PLACE INTERMITTENT PNEUMATIC COMPRESSION,88062
27,OT,OT EVAL AND TREAT,84573
28,Lab,PROTIME-INR,80169
29,Respiratory Care,OXYGEN VIA DEVICE TO KEEP O2 SAT ABOVE,79665
30,Lab,MAGNESIUM LEVEL,78862
31,Point of Care Testing,POC ELECTROLYTES/BMP,76254
32,Transfer,TRANSFER PATIENT,71061
33,Lab,URINALYSIS,70611
34,Lab,EXTRA TUBE (SST/GOLD),66877
35,Consult,IP CONSULT TO CASE MANAGEMENT,63461
36,Imaging,CT HEAD WO CONTRAST,62879
37,Lab,BLOOD GAS ARTERIAL,62789
38,Nursing,REASON FOR NOT ADMINISTERING VTE PHARMACOLOGICAL PROPHYLAXIS,61873
39,Lab,BLOOD GAS CAPILLARY,61614
40,IV,BLOOD DRAW WITH IV START,61239
41,Nursing,NURSING INCENTIVE SPIROMETRY,60765
42,Nursing,WEIGH PATIENT,59501
43,Diet,DIET CLEAR LIQUID,58137
44,Blood Bank,TYPE AND SCREEN,57636
45,Lab,LIPASE,55979
46,Microbiology,URINE CULTURE,53365
47,Imaging,XR CHEST PA AND LATERAL,51800
48,Nursing,BEDREST,51127
49,Respiratory Care,NEBULIZER TX INTERMITTENT,47999
